arguments: neo.dll reference.dll -p10000000 -q1000
==================================================

  39.3       45.96    1807.76  match.      1F228138-15AAEF68-1F228138-579A9BE-34EA6EE8
  25.8       37.99     981.23  match.      18004F5C-1288210C-18004F5C-25B67DA-33C8A08C
  31.9       43.30    1379.63  match.      12124756-189A2906-12124756-8496FD0-39DAA886
  38.2       37.00    1414.98  match.      C9C1921-6147771-C9C1921-16C731A7-2754F6F1
  34.2       44.94    1536.53  match.      6E0560C-C68385C-6E0560C-1CBB7E8A-2D28B9DC
  34.9       40.85    1423.75  match.      3F663EF8-35EE50A8-3F663EF8-253D167E-14AED128
  49.6       36.62    1816.79  match.      39C66376-334E0D26-39C66376-239D4BF0-120E8CA6
 145.0       23.25    3369.82  match.      32DB1D82-385373D2-32DB1D82-28803504-1913F252
  35.3       45.12    1593.10  match.      2969013A-23E16F6A-2969013A-333229BC-2A1EEEA
  61.2       35.40    2167.28  match.      221A7848-28921618-221A7848-384150CE-9D29798

overall ratio:   49.5

arguments: neo.dll reference.dll -p10000000 -q1000
==================================================

  33.2       38.33    1272.99  match.      6B52EB4E-61DA851E-6B52EB4E-7109C3C8-409A049E
  43.4       40.02    1737.95  match.      659942F4-6F112CA4-659942F4-7FC26A72-4E51AD24
  62.9       55.87    3511.73  match.      9E5B9E32-94D3F062-9E5B9E32-8400B6B4-B59371E2
  44.0       37.32    1642.89  match.      9551DCCB-9FD9B29B-9551DCCB-8F0AF44D-BE99331B
  27.7       41.66    1155.88  match.      8E04EF27-848C8177-8E04EF27-945FC7A1-A5CC00F7
  63.6       74.92    4766.64  match.      880BD0C9-8283BE99-880BD0C9-9250F84F-A3C33F19
  27.9       38.66    1076.87  match.      BEDEA9F0-B456C7A0-BEDEA9F0-A4858176-95164620
  66.6       51.20    3407.11  match.      B8D71A02-B25F7452-B8D71A02-A28C3284-931FF5D2
  42.6       36.83    1570.70  match.      AF83A7F7-A50BC9A7-AF83A7F7-B5D88F71-844B4827
  34.0       37.82    1287.58  match.      A8232733-A2AB4963-A8232733-B2780FB5-83EBC8E3

overall ratio:   44.6

arguments: neo.dll reference.dll -p10000000 -q1000
==================================================

  63.8       78.96    5034.58  match.      B322A5A-1BA440A-B322A5A-116902DC-20FAC58A
  45.0       39.48    1776.17  match.      1E23E92-B6A50C2-1E23E92-1BB91614-2A2AD142
  31.2       40.70    1270.74  match.      3AF6903C-307EFE6C-3AF6903C-20ADB8BA-113E7FEC
  26.5       56.91    1507.18  match.      33096DE1-398103B1-33096DE1-29524567-18C18231
  37.7       40.47    1523.89  match.      2DBE4534-27362B64-2DBE4534-37E56DB2-676AAE4
  23.1       38.83     895.38  match.      26277995-2CAF17C5-26277995-3C7C5113-DEF9645
  69.2       77.15    5335.99  match.      21F9DE2F-2B71B07F-21F9DE2F-3BA2F6A9-A3131FF
  28.9       34.01     983.33  match.      56EB9DBF-5C63F3EF-56EB9DBF-4CB0B539-7D23726F
  52.9       40.69    2153.23  match.      50CADB09-5A42B559-50CADB09-4A91F38F-7B0234D9
  27.4       44.12    1210.54  match.      4825AEA9-42ADC0F9-4825AEA9-527E862F-63ED4179
